,Año,Género F/M/Mixto,Grupo/solista,Género musical,Nacionalidad,¿Aparece en top 20 NACIONAL antes del festival?,¿Aparece top 100 NACIONAL antes del festival? TOPCHARTS,¿Cuántas veces aparece?,Posición en el chart,Peak de rating,Gaviotas,Antorchas,¿Aparece top 20 después del festival?,¿Aparece top 100 después del festival?,¿Cuántas veces aparece?,Chart,¿Subió o bajó?,,,,
Jorge González,2013,Hombre,Solista,Pop rock,Chile,no,No,0,0,-,2,2,no,No,0,0,-,,,,
Elton John ,2013,Hombre,Solista,Rock / pop,Inglaterra,no,No,0,0,-,2,2,no,No,0,0,-,,,,
Albert Hammond,2013,Hombre,Solista,Pop,Reino Unido,no,No,0,0,-,1,2,no,No,0,0,-,,,,
La Sonora de Tommy Rey ,2013,Hombre,Grupo,Cumbia ,Chile,no,No,0,0,-,2,2,no,No,0,0,-,,,,
Wisin & Yandel ,2013,Hombre,Duo,Reggaeton,Puerto Rico,si,Sí,2,"1,10,",-,2,2,si,Sí,2,1.13,Mantuvo,,,,
Gloria Trevi,2013,Mujer,Solista,Pop latino / rock,México,no,No,0,0,-,2,2,no,No,0,0,-,,,,
Pablo Alborán,2013,Hombre,Solista,Pop,España,no,Sí,3,"18,24,66",-,2,2,no,No,0,0,-,,,,
Los Auténticos Decadentes ,2013,Hombre,Grupo,Rock / ska,Argentina,no,No,0,0,-,2,2,no,No,0,0,-,,,,
Diego Torres,2012,Hombre,Solista,Pop latino,Argentina,no,PENDIENTE,0,0,-,0,2,no,PENDIENTE,0,0,-,,,,
Luis Miguel ,2012,Hombre,Solista,Pop latino / bolero / marichi,México,no,PENDIENTE,0,0,-,3,2,no,PENDIENTE,0,0,-,,,,
Camila,2012,Hombre,Grupo,Pop rock,México,no,PENDIENTE,0,0,-,1,2,no,PENDIENTE,0,0,-,,,,
Marc Anthony ,2012,Hombre,Solista,Salsa,Estados Unidos/ Puerto Rico,no,PENDIENTE,0,0,-,2,2,no,PENDIENTE,0,0,-,,,,
Daniel Muñoz,2012,Hombre,Solista,Cueca urbana ,Chile,no,PENDIENTE,0,0,-,0,2,no,PENDIENTE,0,0,-,,,,
Salvatore Adamo ,2012,Hombre,Solista,Balada Romántica / pop,Italia / Bélgica,no,PENDIENTE,0,0,-,1,2,no,PENDIENTE,0,0,-,,,,
Morrissey ,2012,Hombre,Solista,Rock alternativo,Inglaterra,no,PENDIENTE,0,0,-,0,2,no,PENDIENTE,0,0,-,,,,
Los Bunkers,2012,Hombre,Grupo,Rock alternativo,Chile,no,PENDIENTE,0,0,-,2,2,no,PENDIENTE,0,0,-,,,,
Manuel García,2012,Hombre,Solista,Rock / trova / folk,Chile,no,PENDIENTE,0,0,-,2,2,no,PENDIENTE,0,0,-,,,,
Garras de Amor,2012,Hombre,Grupo,Cumbia Romántica,Argentina,no,PENDIENTE,0,0,-,0,2,no,PENDIENTE,0,0,-,,,,
Ráfaga ,2012,Hombre,Grupo,Cumbia ,Argentina,no,PENDIENTE,0,0,-,0,2,no,PENDIENTE,0,0,-,,,,
