;Año;Género F/M/Mixto;Grupo/solista;Género musical;Nacionalidad;¿Aparece en top 20 NACIONAL antes del festival?;¿Aparece top 100 NACIONAL antes del festival? TOPCHARTS;¿Cuántas veces aparece?;Posición en el chart;Peak de rating;Gaviotas;Antorchas;¿Aparece top 20 después del festival?;¿Aparece top 100 después del festival?;¿Cuántas veces aparece?;Chart;¿Subió o bajó?;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pedro Capó;2020;Hombre;Solista;Pop romántico;Puerto Rico;no;Sí;2;25, 62;PENDIENTE;2;No se dan;no;Sí;2;24, 62;Subió;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mon Laferte;2020;Mujer;Solista;Pop / balada / rock alternativo;Chile;no;Sí;1;54;PENDIENTE;2;No se dan;no;Sí;2;42,  80;Subió;;;;;;;;;;;;;;;;;;;;;;;;;;;
Francisca Valenzuela;2020;Mujer;Solista;Pop rock;Chile;no;No;0;0;PENDIENTE;2;No se dan;no;No;0;0;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ana gabriel;2020;Mujer;Solista;Pop latino / balada romántica / ranchera;México;no;No;0;0;PENDIENTE;2;No se dan;no;Sí;1;83;Ingresó;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pimpinela;2020;Mixto;Duo;Pop ;Argentina;no;No;0;0;PENDIENTE;2;No se dan;no;No;0;0;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pablo Alborán;2020;Hombre;Solista;Pop ;España;no;No;0;0;PENDIENTE;2;No se dan;no;Sí;1;77;Ingresó;;;;;;;;;;;;;;;;;;;;;;;;;;;
Luciano Pereyra;2020;Hombre;Solista;Pop ;Argentina;no;No;0;0;PENDIENTE;2;No se dan;no;Sí;1;92;Ingresó;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maroon 5;2020;Hombre;Grupo;Pop rock;Estados Unidos;no;Sí;1;94;PENDIENTE;0;No se dan;no;Sí;6;29, 55, 79, 86, 90,98;Subió ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alexandre Pires;2020;Hombre;Solista;Pagode;Brasil;no;No;0;0;PENDIENTE;2;No se dan;no;No;0;0;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ozuna;2020;Hombre;Solista;Reggaeton;Puerto Rico;Sí;Sí;6;11, 19, 22, 23, 69, 88, 99;PENDIENTE;2;No se dan;Sí;Sí;4;16, 20, 24, 84;Subió;;;;;;;;;;;;;;;;;;;;;;;;;;;
Denise Rosenthal ;2020;Mujer;Solista;Pop latino;Chile;no ;No;0;0;PENDIENTE;2;No se dan;no;Sí;2;76, 96 ;Ingresó;;;;;;;;;;;;;;;;;;;;;;;;;;;
Noche de Brujas ;2020;Hombre;Grupo;Cumbia;Chile;no;No;0;0;PENDIENTE;2;No se dan;no;No;0;0;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wisin & Yandel;2019;Hombre;Duo;Reggaeton;Puerto Rico;no ;Sí;1;13;PENDIENTE;2;No se dan;no;PENDIENTE;0;0;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sebastian Yatra;2019;Hombre;Solista;Pop latino;Colombia;no ;Sí;1;40;PENDIENTE;2;No se dan;no;PENDIENTE;0;0;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
Raphael;2019;Hombre;Solista;Balada;España;no ;No;0;0;PENDIENTE;2;No se dan;no;PENDIENTE;0;0;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
Yuri;2019;Mujer;Solista;Pop latino;México;no ;No;0;0;PENDIENTE;2;No se dan;no;PENDIENTE;0;0;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
Marc Anthony ;2019;Hombre;Solista;Salsa;Estados Unidos/ Puerto Rico;no ;Sí;1;32;PENDIENTE;2;No se dan;no;PENDIENTE;0;0;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
David Bisbal;2019;Hombre;Solista;Pop;España;no ;No;0;0;PENDIENTE;2;No se dan;no;PENDIENTE;0;0;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
Marco Antonio Solis ;2019;Hombre;Solista;Balada Romántica / pop;México;no ;No;0;0;PENDIENTE;2 (+ llave de la ciudad);No se dan;no;PENDIENTE;0;0;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carlos Rivera;2019;Hombre;Solista;Pop balada;México;no ;No;0;0;PENDIENTE;2;No se dan;no;PENDIENTE;0;0;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
Backstreet Boys;2019;Hombre;Grupo;Pop;Estados Unidos;no ;No;0;0;PENDIENTE;2;No se dan;no;PENDIENTE;0;0;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cami;2019;Mujer;Solista;Folk / soul / pop;Chile;no ;No;0;0;PENDIENTE;2;No se dan;no;PENDIENTE;0;0;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bad Bunny;2019;Hombre;Solista;Reggaeton / trap;Puerto Rico;Sí;Sí;3;13, 23, 32;PENDIENTE;2;No se dan;Sí;PENDIENTE;1;12;Subió;;;;;;;;;;;;;;;;;;;;;;;;;;;
Becky G;2019;Mujer;Solista;Reggaeton;Estados Unidos;no ;Sí;2;14, 16;PENDIENTE;2;No se dan;Sí;PENDIENTE;1;20;Ingtresó;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ricky Martin;2019;Hombre;Solista;Pop latino;Puerto Rico;no;No;0;0;PENDIENTE;2;No se dan;no;PENDIENTE;0;0;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
Miguel Bosé ;2018;Hombre;Solista;Pop / baladas;España;no ;No;0;0;PENDIENTE;2;No se dan;no;No;0;0;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
Illapu;2018;Hombre;Grupo;Música andina / fusión latinoamericana;Chile;no ;No;0;0;PENDIENTE;2;No se dan;no;No;0;0;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
Luis Fonsi;2018;Hombre;Solista;Pop latino;Puerto Rico;Sí;Sí;2;2, 35;PENDIENTE;2;No se dan;Sí;Sí;2;2,34;Mantuvo;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gente de Zona;2018;Hombre;Duo;Urbano;Cuba;no;Sí;1;3;PENDIENTE;2;No se dan;no;Sí;2;3, 97;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jamiroquai;2018;Hombre;Grupo;Fuk / acid jazz;Reino Unido;no;No;0;0;PENDIENTE;2;No se dan;no;No;0;0;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
Europe ;2018;Hombre;Grupo;Hard rock;Suecia;no;No;0;0;PENDIENTE;2;No se dan;no;No;0;0;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jesse & Joy;2018;Mixto;Duo;Pop;México;no;Sí;1;3;PENDIENTE;2;No se dan;Sí;Sí;2;3, 12;Ingresó;;;;;;;;;;;;;;;;;;;;;;;;;;;
Prince Royce ;2018;Hombre;Solista;Bachata;Estados Unidos;no;Sí;1;38;PENDIENTE;2;No se dan;no;Sí;1;38;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carlos Vives;2018;Hombre;Solista;Pop tropical;Colombia;no;Sí;1;6;PENDIENTE;2;No se dan;no;Sí;1;9;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ha*Ash;2018;Mujer;Duo;Pop;México;no;Sí;1;38;PENDIENTE;2;No se dan;no;Sí;1;38;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
CNCO;2018;Hombre;Grupo;Reggaeton / pop latino;Estados Unidos (ahí se crearon);no;Sí;3;15,21,46;PENDIENTE;2;No se dan;no;Sí;3;13,17,37;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
