Artista;Año;Género F/M/Mixto;Grupo/solista;Género musical;Nacionalidad
Monna Bell;1965;Mujer;Solista;Jazz / blues;Chile
Pat Henry  ;1965;Hombre;Solista;Rock / pop;Chile
Lorenzo Valderrama;1964;Hombre;Solista;Bolero ;Chile
Los Blue Splendor ;1964;Hombre;Grupo;Rock / nueva ola;Chile
Los Cantores de Rucamanqui;1964;;;;Chile
Maggie;1964;Mujer;Solista;Disco;Chile
Juan Chocolate Rodriguez;1963;Hombre;Solista;Música tropical;Chile
Enrique Guzman ;1963;Hombre;Solista;Rock and roll / balada romántica;México / Venezuela
Gloria Benavides ;1963;Mujer;Solista;Nueva ola / balada;Chile
Lorenzo Valderrama;1963;Hombre;Solista;Bolero;Chile
Antonio Prieto;1962;Hombre;Solista;Bolero / vals;Chile
El chúcaro;1962;Hombre;Solista;Folclore;Argentina
Los hermanos Silva;1962;Mixto;Grupo;Música típica chilena;Chile
Los ramblers;1962;Hombre;Grupo;Jazz / rock an roll;Chile
Jimmy Lane;1962;Hombre;Solista;Nueva ola;Chile
Baby Bell;1961;Mujer;Solista;Folk ;Argentina
Dixieland Hot Jazz;1961;Hombre;Grupo;Jazz;Estados Unidos
Lorenzo Valderrama;1961;Hombre;Solista;Bolero;Chile
Orquesta Huambaly ;1961;Hombre;Grupo;Tropical / jazz;Chile
Los Huasos Quincheros;1960;Hombre;Grupo;Folclore / bolero;Chile
Ricardo Arancibia;1960;Hombre;Solista;Folclore;Chile
Teal Joy;1960;Mujer;Solista;Jazz;Estados Unidos / Japón
