Artista;Año;Género F/M/Mixto;Grupo/solista;Género musical;Nacionalidad
Nelly Furtado;2008;Mujer;Solista;Pop / R&B ;Canadá
Amango;2008;Mixto;Grupo;Pop;Chile
Calle 13 ;2008;Mixto;Grupo;Rap fusión latino;Puerto Rico
Marco Antonio Solis;2008;Hombre;Solista;Balada Romántica / pop;México
Coti;2008;Hombre;Solista;Pop rock;Argentina 
Vicentico;2008;Hombre;Solista;Rock pop;Argentina 
Chayanne;2008;Hombre;Solista;Pop latino;Puerto Rico
Buddy Richard;2008;Hombre;Solista;Nueva ola / balada / rock;Chile
Wisin & Yandel ;2008;Hombre;Duo;Reggaeton;Puerto Rico
La oreja de Van Gogh;2007;Mixto;Grupo;Pop rock;España
Bacilos;2007;Hombre;Grupo;Pop latino ;Estados Unidos
Tom Jones;2007;Hombre;Solista;Pop / R&B / soul;Inglaterra
Mario Guerrero ;2007;Hombre;Solista;Baladas / pop ;Chile
Los Bunkers;2007;Hombre;Grupo;Rock alternativo;Chile
Gustavo Cerati;2007;Hombre;Solista;Rock / pop;Argentina
Ana Torroja;2007;Mujer;Solista;Pop;España
Kudai;2007;Mixto;Grupo;Pop rock;Chile
Los tres;2007;Hombre;Grupo;Rock;Chile
Fito Páez;2007;Hombre;Solista;Rock;Argentina
Bryan Adams;2007;Hombre;Solista;Hard rock / pop rock;Canadá
Luis Jara;2007;Hombre;Solista;Romántico;Chile
Lucybell;2007;Hombre;Grupo;Rock;Chile
Ricky Martin ;2007;Hombre;Solista;Pop latino;Puerto Rico
Axel;2007;Hombre;Solista;Balada Romántica / pop latino;Argentina
Don Omar ;2007;Hombre;Solista;Reggaeton;Puerto Rico
Juan Luis Guerra;2006;Hombre;Solista;Bachata;República Dominicana
Andy & Lucas;2006;Hombre;Duo;Pop / flamenco;España
Miranda!;2006;Mixto;Duo;Electropop;Argentina
Jose Feliciano;2006;Hombre;Solista;Pop latino / bolero ;Puerto Rico / Estados Unidos
Sin Bandera;2006;Hombre;Grupo;Pop / baladas / ranchera;México
Illapu;2006;Hombre;Grupo;Música andina / fusión latinoamericana;Chile
A-ha;2006;Hombre;Grupo;Pop rock;Noruega
Los tigres del norte;2006;Hombre;Grupo;Regional mexicana ;México
Javier Estrada;2006;Hombre;Solista;Pop / rock / baladas románticas ;España
Chancho en Piedra;2006;Hombre;Grupo;Rock alternativo;Chile
Kansas;2006;Hombre;Grupo;Rock progresivo / hard rock;Estados Unidos
Joe Vasconcellos;2006;Hombre;Solista;Pop rock;Chile
Alejandro Fernández ;2006;Hombre;Solista;Ranchera / pop latino;México
Amaral;2006;Mixto;Grupo;Folk rock / pop rock;España
Daddy Yankee;2006;Hombre;Solista;Reggaeton;Puerto Rico
Franz Ferdinand;2006;Mixto;Grupo;Indie Rock;Escocia
David DeMaría;2006;Hombre;Solista;Pop rock;España
La gran sonora de Chile;2006;Hombre;Grupo;Cumbia;Chile
Juanes ;2005;Hombre;Solista;Pop latino / rock;Colombia
La oreja de Van Gogh;2005;Mixto;Grupo;Pop rock;España
La Sonora Palacios  ;2005;Hombre;Grupo;Cumbia;Chile
Paulina Rubio;2005;Mujer;Solista;Pop latino ;México
Raphael;2005;Hombre;Solista;Balada;España
Babasonicos;2005;Hombre;Grupo;Pop rock;Argentina
Alberto Plaza;2005;Hombre;Solista;Trova romántica / balada ;Chile
Los hermanos Bustos;2005;Hombre;Duo;Ranchera;Chile
Congreso;2005;Hombre;Grupo;Fusión latinomaricana;Chile
Lucybell;2005;Hombre;Grupo;Rock;Chile
La Ley;2005;Mixto;Grupo;Rock;Chile
Julieta Venegas;2005;Mujer;Solista;Rock alternativo;México
Alexandre Pires;2005;Hombre;Solista;Pagode;Brasil
Café Tacuba;2005;Hombre;Grupo;Rock alternativo / folk;México
Miguel Bosé ;2005;Hombre;Solista;Pop / baladas;España
Obie bermúdez;2005;Hombre;Solista;Pop latino / salsa;Puerto Rico
David Bisbal;2005;Hombre;Solista;Pop;España
The orchestra;2005;Hombre;Grupo;Rock;Inglaterra
Marco Antonio Solis;2005;Hombre;Solista;Balada Romántica / pop;México
Fey;2005;Mujer;Solista;Pop / electrónica;México
Diego Torres;2005;Hombre;Solista;Pop latino;Argentina
Los Auténticos Decadentes ;2005;Hombre;Grupo;Rock / ska;Argentina
Cristian Castro;2004;Hombre;Solista;Balada romántica ;México
Soraya;2004;Mujer;Solista;Pop latino;Colombia
Umberto Tozzi;2004;Hombre;Solista;Pop rock;Italia
La Sonora de Tommy Rey ;2004;Hombre;Grupo;Cumbia;Chile
Marciano;2004;Hombre;Duo;Música electrónica;Chile
Camilo Sesto;2004;Hombre;Solista;Balada romántica / pop / rock;España
Douglas;2004;Hombre;Solista;Bachata / balada romántica;Chile
Bacilos;2004;Hombre;Grupo;Pop latino ;Estados Unidos
Chancho en Piedra;2004;Hombre;Grupo;Rock alternativo;Chile
Toto;2004;Hombre;Grupo;Rock;Estados Unidos
Juan Gabriel;2004;Hombre;Solista;Mariachi / bolero / balada;México
Alex Ubago;2004;Hombre;Solista;Pop rock / balada moderna ;España
Ximena Abarca;2004;Mujer;Solista;Pop;Chile
Canal Magdalena;2004;Hombre;Grupo;Pop rock;Chile
Maria Jose Quintanilla;2004;Mujer;Solista;Ranchera / pop / balada ;Chile
Intii-Illimani;2004;Hombre;Grupo;Nueva canción chilena ;Chile
Tito Fernández ;2004;Hombre;Solista;Nueva canción chilena / folclore ;Chile
Pettinellis;2004;Hombre;Grupo;Rock ;Chile
Salvatore Adamo ;2004;Hombre;Solista;Balada Romántica / pop;Italia/ Bélgica
Luis Fonsi;2004;Hombre;Solista;Pop latino;Puerto Rico
Fito Páez;2004;Hombre;Solista;Rock;Argentina
Molotov;2004;Hombre;Grupo;Punk rock;México
Ricardo Arjona;2004;Hombre;Solista;Pop latino;Guatemala
DJ Méndez;2004;Hombre;Solista;Rap / urbano / hip hop;Chile
Jarabe de palo;2004;Hombre;Grupo;Rock;España
Safri Duo;2004;Hombre;Grupo;Música electrónica / trance ;Dinamarca
Maná;2003;Hombre;Grupo;Rock;México
Kool & the Gang;2003;Hombre;Grupo;R&B / soul / funk ;Estados Unidos
Diego Torres;2003;Hombre;Solista;Pop latino;Argentina
Juanes ;2003;Hombre;Solista;Pop latino / rock;Colombia
Porto Bahía;2003;Mixto;Grupo;Ritmos brasileños y latinos ;Brasil / Chile
Lucybell;2003;Hombre;Grupo;Rock;Chile
INXS;2003;Hombre;Grupo;Rock alternativo / new wave ;Australia
David Bisbal;2003;Hombre;Solista;Pop;España
Rosario;2003;Mujer;Solista;Pop / rock / flamenco;España
Gondwana;2003;Hombre;Grupo;Reggae;Chile
Joe Vasconcellos;2003;Hombre;Solista;Pop rock;Chile
Los prisioneros;2003;Hombre;Grupo;Rock;Chile
Charly García;2003;Hombre;Solista;Rock / pop / jazz;Argentina
Los Nocheros;2003;Hombre;Grupo;Balada folclórica;Argentina
Franco Simone;2003;Hombre;Solista;Pop / balada romántica ;Italia
Café con leche;2003;Hombre;Grupo;Axé;Chile / Brasil
Ricardo Montaner;2003;Hombre;Solista;Balada romántica;Venezuela
Luis Jara;2003;Hombre;Solista;Romántico;Chile
Sandy & Junior;2003;Mixto;Duo;Pop;Brasil
Los Ilegales;2003;Hombre;Grupo;Latino / tropical;República Domicana 
Cristian Castro;2002;Hombre;Solista;Balada romántica ;México
As meninas;2002;Mujer;Grupo;Axé / pop;Brasil
Sergio Dalma;2002;Hombre;Solista;Pop;España
Chocolate y nietos del futuro;2002;Hombre;Grupo;Plena rioplatense;Uruguay
Paulina Rubio;2002;Mujer;Solista;Pop latino;México
Melody;2002;Mujer;Solista;Pop latino / flamenco;España
